[2015-Dec-01 09:38:21] WARNING [iCing.webUtils:77] Failed to determine project type for 8j7xvk
[2015-Dec-01 09:44:12] WARNING [iCing.webUtils:77] Failed to determine project type for u342yv
[2015-Dec-01 09:47:56] WARNING [iCing.webUtils:77] Failed to determine project type for xropha
[2015-Dec-01 09:48:48] WARNING [iCing.webUtils:77] Failed to determine project type for tdt459
[2015-Dec-01 10:12:27] WARNING [iCing.webUtils:77] Failed to determine project type for 0t1a0q
[2015-Dec-01 12:18:59] INFO [iCing.ccpnUtils:121] Starting: TBBCx3 from CCPN:127.0.0.1
[2015-Dec-03 13:36:19] INFO [iCing.webUtils:182] Starting: br6738 from 127.0.0.1
[2015-Dec-03 16:15:00] INFO [iCing.webUtils:177] Starting: bwnssf from 127.0.0.1
[2015-Dec-03 16:17:42] INFO [iCing.webUtils:177] Starting: bwnssf from 127.0.0.1
[2015-Dec-03 16:19:48] INFO [iCing.webUtils:177] Starting: nz4x7p from 127.0.0.1
[2015-Dec-03 16:23:43] INFO [iCing.webUtils:177] Starting: qr5nnh from 127.0.0.1
[2015-Dec-03 16:29:43] INFO [iCing.webUtils:177] Starting: qr5nnh from 127.0.0.1
[2015-Dec-04 09:51:56] INFO [iCing.webUtils:177] Starting: qr5nnh from 127.0.0.1
[2015-Dec-04 10:48:50] INFO [iCing.webUtils:177] Starting: 6knv6k from 127.0.0.1
[2015-Dec-04 10:56:46] INFO [iCing.webUtils:177] Starting: iopyo9 from 127.0.0.1
