# Model read finished. Duration 1.57694482803 
# Model validity check skipped
# WARNING, no previous map found for <MetaAttribute: ccp.nmr.Nmr.DataDimRef.localValuePerPoint> (www.ccpn.ac.uk_Fogh_2008-10-15-12:22:42_00001)
# WARNING, no previous map found for <MetaAttribute: ccp.nmr.Nmr.DataDimRef.localValuePerPoint> (www.ccpn.ac.uk_Fogh_2008-10-15-12:22:42_00001)
# Modified CCPN DNA A prot:H1: no CING, DYANA, CYANA
# Modified CCPN DNA C prot:H3: no CING, DYANA, CYANA
# Modified CCPN DNA G prot:H7,H1
# Modified CCPN RNA A prot:H1
# Modified CCPN RNA C prot:H3
# Modified CCPN RNA G prot:H7,H1
# Modified CCPN protein Tyr deprot:HH: no CING, CYANA, DYANA
# Modified HOH: CING collumn contains H1, H2, O, QH
#
RESIDUE  CING -    CYANA2.1 -    DIANA -    IUPAC PLM  PDB_REMED PLM   CCPN other Plm neutral
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED HE1      CCPN HE1
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED HE2      CCPN HE2
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC HF*     PDB_REMED HF*      CCPN HF*
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED HF1      CCPN HF1
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED HF2      CCPN HF2
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC HG*     PDB_REMED HG*      CCPN HG*
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED HG1      CCPN HG1
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED HG2      CCPN HG2
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED HG3      CCPN HG3
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED O1       CCPN O1
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED O2       CCPN O2
ENDRES
RESIDUE  CING 3CO  CYANA2.1 3CO  DIANA 3CO  IUPAC 3CO  PDB_REMED 3CO   CCPN other 3co neutral
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED CO       CCPN CO
ENDRES
RESIDUE  CING 5MU  CYANA2.1 5MU  DIANA 5MU  IUPAC 5MU  PDB_REMED -     CCPN RNA T deprot:H3
ATOM   CING -       CYANA2.1 C1'     DIANA C1'     IUPAC C1'     PDB_REMED -        CCPN C1'
ATOM   CING -       CYANA2.1 C2      DIANA C2      IUPAC C2      PDB_REMED -        CCPN C2
ATOM   CING -       CYANA2.1 C2'     DIANA C2'     IUPAC C2'     PDB_REMED -        CCPN C2'
ATOM   CING -       CYANA2.1 C3'     DIANA C3'     IUPAC C3'     PDB_REMED -        CCPN C3'
ATOM   CING -       CYANA2.1 C4      DIANA C4      IUPAC C4      PDB_REMED -        CCPN C4
ATOM   CING -       CYANA2.1 C4'     DIANA C4'     IUPAC C4'     PDB_REMED -        CCPN C4'
ATOM   CING -       CYANA2.1 C5      DIANA C5      IUPAC C5      PDB_REMED -        CCPN C5
ATOM   CING -       CYANA2.1 C5'     DIANA C5'     IUPAC C5'     PDB_REMED -        CCPN C5'
ATOM   CING -       CYANA2.1 C6      DIANA C6      IUPAC C6      PDB_REMED -        CCPN C6
ATOM   CING -       CYANA2.1 C7      DIANA C7      IUPAC C7      PDB_REMED -        CCPN C7
ATOM   CING -       CYANA2.1 H1'     DIANA H1'     IUPAC H1'     PDB_REMED -        CCPN H1'
ATOM   CING -       CYANA2.1 H2'     DIANA H2'     IUPAC H2'     PDB_REMED -        CCPN H2'
ATOM   CING -       CYANA2.1 H3'     DIANA H3'     IUPAC H3'     PDB_REMED -        CCPN H3'
ATOM   CING -       CYANA2.1 H4'     DIANA H4'     IUPAC H4'     PDB_REMED -        CCPN H4'
ATOM   CING -       CYANA2.1 H5'     DIANA H5'     IUPAC H5'     PDB_REMED -        CCPN H5'
