3,1H,361
4,1H,92
5,1H,171
6,1H,106
7,1H,82
8,1H,404
9,1H,197
18,1H,223
19,1H,182
21,1H,35
23,1H,164
24,1H,174
25,1H,52
26,1H,129
27,1H,349
29,1H,300
30,1H,382
32,1H,192
36,1H,16
39,1H,218
40,1H,108
41,1H,166
42,1H,305
44,1H,94
45,1H,289
46,13C,120
48,1H,328
49,1H,314
50,1H,8
53,1H,256
55,1H,267
58,1H,221
60,1H,391
62,1H,337
63,1H,224
64,1H,3
65,1H,282
66,1H,269
68,1H,458
76,1H,131
77,1H,99
79,1H,435
80,1H,246
81,1H,103
86,1H,93
87,1H,69
88,1H,380
90,1H,5
94,1H,35
95,1H,35
96,1H,194
97,1H,57
102,1H,3
103,1H,3
104,1H,3
105,1H,3
106,1H,3
107,1H,3
108,1H,3
109,1H,4
112,1H,1
114,1H,215
115,1H,3
116,1H,3
117,1H,4
119,1H,13
119,15N,9
120,1H,3
121,1H,1
122,1H,1
123,1H,1
126,1H,201
127,1H,43
131,1H,190
132,1H,289
133,1H,461
136,1H,45
139,1H,50
140,1H,151
141,1H,227
142,1H,82
144,1H,551
146,1H,258
148,1H,3
149,1H,6
150,1H,20
151,1H,5
161,1H,113
162,1H,276
169,1H,126
171,1H,71
180,1H,99
181,1H,85
182,1H,122
183,1H,1
185,1H,67
186,1H,84
187,1H,9
188,1H,14
189,1H,25
189,15N,25
190,1H,38
191,1H,2
192,1H,188
193,1H,125
194,1H,123
195,1H,28
195,13C,28
196,1H,190
199,1H,164
200,1H,119
216,1H,13
217,1H,14
218,1H,10
219,1H,11
220,1H,11
221,1H,8
222,1H,7
223,1H,9
224,1H,1
225,1H,1
226,1H,1
227,1H,23
228,1H,20
229,1H,20
233,1H,4
234,1H,4
235,1H,4
236,1H,46
237,1H,86
238,1H,25
239,1H,12
240,1H,21
241,1H,10
242,1H,17
243,1H,47
244,1H,5
245,1H,168
246,1H,270
247,1H,488
248,1H,101
249,1H,188
250,1H,67
252,1H,99
253,1H,1
254,1H,2
255,1H,1
256,1H,583
257,1H,590
258,1H,35
259,1H,4
260,1H,559
261,1H,2
262,13C,49
263,13C,51
264,13C,51
274,1H,516
275,1H,265
276,1H,18
280,1H,456
283,15N,104
284,15N,106
285,1H,11
286,1H,12
287,1H,296
287,15N,67
288,1H,5
288,15N,5
289,1H,424
290,1H,61
291,1H,30
292,1H,29
293,1H,5
294,1H,467
295,1H,294
298,1H,121
300,1H,245
301,1H,125
302,1H,72
306,1H,166
307,1H,4
308,1H,43
309,1H,4
311,1H,1
314,1H,132
316,1H,16
317,1H,18
321,1H,206
325,1H,186
326,1H,486
327,1H,486
329,1H,260
330,1H,10
331,1H,10
332,1H,10
335,13C,51
336,1H,22
337,1H,22
338,1H,52
338,15N,52
339,1H,16
339,15N,16
340,1H,16
340,15N,16
341,1H,16
341,15N,16
342,1H,15
342,15N,15
345,1H,511
346,1H,496
349,1H,503
350,1H,1
351,1H,1
353,1H,9
354,1H,3
355,1H,3
356,1H,148
357,1H,124
358,1H,369
359,1H,8
360,1H,7
361,1H,7
362,1H,6
363,1H,23
364,1H,18
367,1H,16
369,15N,2
371,1H,123
372,1H,162
373,1H,79
374,1H,256
375,1H,254
376,1H,690
385,1H,544
386,1H,115
387,1H,109
388,1H,85
389,1H,11
390,1H,492
391,1H,102
392,1H,105
393,1H,29
394,1H,347
395,1H,309
397,1H,150
398,1H,43
401,1H,17
402,1H,18
405,1H,44
407,1H,84
408,1H,183
410,1H,55
411,1H,2
412,1H,2
413,1H,2
414,13C,4
415,13C,4
416,13C,4
417,1H,17
418,1H,7
419,1H,79
420,1H,168
421,1H,328
422,1H,63
423,1H,5
426,1H,17
428,1H,100
429,1H,9
430,1H,37
432,1H,5
432,15N,4
433,1H,5
433,15N,4
434,1H,684
434,15N,144
435,1H,665
435,15N,144
436,1H,17
437,1H,17
438,1H,6
439,1H,6
440,1H,322
441,1H,2
442,1H,47
